,Country (or dependency),Region,Year,Infant_deaths,Incidents_HIV,GDP_per_capita,Population_mln,Schooling,Economy_status_Developed,Life_expectancy,avg_vax_rate,ISO
0,Turkey,Middle East,2015,11.1,0.08,11006.0,78.53,7.8,0,76.5,89.0,TUR
1,Greece,European Union,2015,3.8,0.06,18084.0,10.82,10.6,1,81.0,94.25,GRC
2,Botswana,Africa,2015,39.6,5.81,6403.0,2.12,9.2,0,67.3,91.5,BWA
3,Guyana,South America,2015,27.4,0.59,5577.0,0.77,8.4,0,69.3,94.25,GUY
4,Brazil,South America,2015,14.2,0.24,8814.0,204.47,7.6,0,75.0,92.5,BRA
5,Malta,European Union,2015,5.7,0.08,24922.0,0.45,11.2,1,81.9,95.0,MLT
6,Kiribati,Oceania,2015,44.7,0.17,1535.0,0.11,7.9,0,67.3,79.0,KIR
7,Latvia,European Union,2015,4.3,0.29,13786.0,1.98,12.8,1,74.5,93.75,LVA
8,Kenya,Africa,2015,35.2,1.15,1465.0,47.88,6.3,0,64.8,72.25,KEN
9,Bhutan,Asia,2015,27.4,0.13,2753.0,0.73,3.1,0,70.4,97.5,BTN
10,Argentina,South America,2015,10.2,0.13,13789.0,43.13,9.8,0,76.1,92.0,ARG
11,Nepal,Asia,2015,29.2,0.17,902.0,27.02,4.7,0,69.5,84.25,NPL
12,Montenegro,Rest of Europe,2015,3.3,0.03,6517.0,0.62,11.3,0,76.4,88.5,MNE
13,United States,North America,2015,5.8,0.12,56763.0,320.74,13.3,1,78.7,91.5,USA
14,Kyrgyzstan,Asia,2015,19.9,0.12,1121.0,5.96,10.8,0,70.7,89.0,KGZ
15,DR Congo,Africa,2015,73.0,0.35,497.0,76.24,6.4,0,59.3,76.0,COD
16,Libya,Africa,2015,11.4,0.08,7590.0,6.42,7.3,0,72.1,97.0,LBY
17,Bolivia,South America,2015,25.4,0.15,3036.0,10.87,8.7,0,70.3,95.0,BOL
18,Saint Vincent and the Grenadines,Central America and Caribbean,2015,15.2,0.4,7207.0,0.11,8.6,0,72.1,94.0,VCT
19,Ireland,European Union,2015,3.2,0.07,62012.0,4.7,12.3,1,81.5,92.75,IRL
20,Luxembourg,European Union,2015,2.3,0.1,105462.0,0.57,12.0,1,82.3,94.5,LUX
21,Suriname,South America,2015,18.2,0.47,9168.0,0.56,8.4,0,71.2,69.25,SUR
22,Bahamas,Central America and Caribbean,2015,12.0,0.34,31699.0,0.37,11.1,0,73.1,92.0,BHS
23,Croatia,European Union,2015,4.2,0.02,11933.0,4.2,11.2,1,77.3,94.5,HRV
24,Benin,Africa,2015,63.2,0.33,1077.0,10.58,3.5,0,60.6,79.75,BEN
25,Czech Republic,European Union,2015,2.5,0.08,17830.0,10.55,12.7,1,78.6,97.5,CZE
26,Cyprus,European Union,2015,2.4,0.06,23408.0,1.16,11.9,1,80.4,94.75,CYP
27,Zimbabwe,Africa,2015,42.1,3.86,1445.0,13.81,8.2,0,59.5,81.5,ZWE
28,Cape Verde,Africa,2015,16.7,0.26,3043.0,0.52,5.9,0,72.1,94.25,CPV
29,Laos,Asia,2015,42.1,0.15,2140.0,6.74,5.1,0,66.5,83.0,LAO
30,Vietnam,Asia,2015,17.4,0.12,2582.0,92.68,8.0,0,75.1,89.0,VNM
31,India,Asia,2015,34.9,0.06,1606.0,1310.15,6.3,0,68.6,82.25,IND
32,Saudi Arabia,Middle East,2015,7.8,0.13,20628.0,31.72,9.5,0,74.7,97.25,SAU
33,Haiti,Central America and Caribbean,2015,52.8,0.67,1387.0,10.7,5.2,0,62.5,67.75,HTI
34,Romania,European Union,2015,7.7,0.04,8969.0,19.82,10.9,1,74.9,87.0,ROU
35,Lesotho,Africa,2015,72.6,10.0,1146.0,2.06,6.1,0,51.0,88.25,LSO
36,Eswatini,Africa,2015,45.2,14.3,3680.0,1.1,6.5,0,55.4,86.75,SWZ
37,Albania,Rest of Europe,2015,8.5,0.03,3953.0,2.88,9.7,0,78.0,98.75,ALB
38,Austria,European Union,2015,3.0,0.08,44196.0,8.64,12.1,1,81.2,91.75,AUT
39,Philippines,Asia,2015,23.4,0.1,3001.0,102.11,9.3,0,70.6,67.75,PHL
